field name;type;description
collection_status_btpn_nonrestructured_allcondition_last_12months_max;INTEGER;
collection_status_btpn_nonrestructured_allcondition_last_1month_max;INTEGER;
collection_status_btpn_nonrestructured_allcondition_last_24months_max;INTEGER;
collection_status_btpn_nonrestructured_allcondition_last_3months_max;INTEGER;
collection_status_btpn_nonrestructured_allcondition_last_6months_max;INTEGER;
collection_status_btpn_nonrestructured_allcondition_secured_last_12months_max;INTEGER;
collection_status_btpn_nonrestructured_allcondition_secured_last_1month_max;INTEGER;
collection_status_btpn_nonrestructured_allcondition_secured_last_24months_max;INTEGER;
collection_status_btpn_nonrestructured_allcondition_secured_last_3months_max;INTEGER;
collection_status_btpn_nonrestructured_allcondition_secured_last_6months_max;INTEGER;
collection_status_btpn_restructured_active_last_12months_max;INTEGER;
collection_status_btpn_restructured_active_last_1month_max;INTEGER;
collection_status_btpn_restructured_active_last_24months_max;INTEGER;
collection_status_btpn_restructured_active_last_3months_max;INTEGER;
collection_status_btpn_restructured_active_last_6months_max;INTEGER;
collection_status_btpn_restructured_allcondition_last_12months_max;INTEGER;
collection_status_btpn_restructured_allcondition_last_1month_max;INTEGER;
collection_status_btpn_restructured_allcondition_last_24months_max;INTEGER;
collection_status_btpn_restructured_allcondition_last_3months_max;INTEGER;
collection_status_btpn_restructured_allcondition_last_6months_max;INTEGER;
collection_status_btpn_restructured_allcondition_secured_last_12months_max;INTEGER;
collection_status_btpn_restructured_allcondition_secured_last_1month_max;INTEGER;
collection_status_btpn_restructured_allcondition_secured_last_24months_max;INTEGER;
collection_status_btpn_restructured_allcondition_secured_last_3months_max;INTEGER;
collection_status_btpn_restructured_allcondition_secured_last_6months_max;INTEGER;
collection_status_chargeoff_last_12months_max;INTEGER;
collection_status_chargeoff_last_1month_max;INTEGER;
collection_status_chargeoff_last_24months_max;INTEGER;
collection_status_chargeoff_last_3months_max;INTEGER;
collection_status_chargeoff_last_6months_max;INTEGER;
collection_status_chargeoff_secured_last_12months_max;INTEGER;
collection_status_chargeoff_secured_last_1month_max;INTEGER;
collection_status_chargeoff_secured_last_24months_max;INTEGER;
collection_status_chargeoff_secured_last_3months_max;INTEGER;
collection_status_chargeoff_secured_last_6months_max;INTEGER;
collection_status_chargeoff_securedmortgage_last_12months_max;INTEGER;
collection_status_chargeoff_securedmortgage_last_1month_max;INTEGER;
collection_status_chargeoff_securedmortgage_last_24months_max;INTEGER;
collection_status_chargeoff_securedmortgage_last_3months_max;INTEGER;
collection_status_chargeoff_securedmortgage_last_6months_max;INTEGER;
collection_status_chargeoff_securedvehicle_last_12months_max;INTEGER;
collection_status_chargeoff_securedvehicle_last_1month_max;INTEGER;
collection_status_chargeoff_securedvehicle_last_24months_max;INTEGER;
collection_status_chargeoff_securedvehicle_last_3months_max;INTEGER;
collection_status_chargeoff_securedvehicle_last_6months_max;INTEGER;
collection_status_chargeoff_unsecured_last_12months_max;INTEGER;
collection_status_chargeoff_unsecured_last_1month_max;INTEGER;
collection_status_chargeoff_unsecured_last_24months_max;INTEGER;
collection_status_chargeoff_unsecured_last_3months_max;INTEGER;
